# Forces       
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         forces(pressure viscous porous)	moments(pressure viscous porous)
2.12841        	((1.01820733e+00 7.68788987e-06 -3.96438702e-19) (2.64157880e-01 -1.48001742e-06 1.48838004e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.63123023e-21 1.62753414e-19 7.82181958e-12) (-3.13129999e-18 1.03301954e-20 -1.65445410e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.1829         	((1.03008388e+00 8.14622506e-06 -3.95206250e-19) (2.62144072e-01 -1.38442072e-06 1.48531735e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.79480433e-21 1.64834475e-19 9.54139458e-12) (-3.01140891e-18 1.02661761e-20 -1.52194609e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.23739        	((1.04193670e+00 8.41721503e-06 -3.94033282e-19) (2.60267721e-01 -1.23489729e-06 1.49103379e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.97249288e-21 1.66904943e-19 9.14025062e-12) (-2.90237912e-18 1.00997239e-20 -1.37227333e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.29204        	((1.05355015e+00 7.75593619e-06 -3.93006180e-19) (2.58501446e-01 -1.07702653e-06 1.49677313e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.14383839e-21 1.68937024e-19 7.67783732e-12) (-2.79799696e-18 9.92067137e-21 -1.18451771e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.3467         	((1.06500636e+00 8.06460482e-06 -3.92056530e-19) (2.56844358e-01 -1.03421648e-06 1.48341186e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.30514612e-21 1.70938624e-19 7.90722316e-12) (-2.69808114e-18 9.91208584e-21 -1.10884562e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.40152        	((1.07464409e+00 8.98669254e-06 -3.90718668e-19) (2.55272910e-01 -1.01495587e-06 1.46638997e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.45028521e-21 1.72658467e-19 7.99742900e-12) (-2.58425630e-18 9.94230995e-21 -1.05475294e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.45634        	((1.08394204e+00 9.18706732e-06 -3.89414645e-19) (2.53785984e-01 -1.08881548e-06 1.44985167e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.59875940e-21 1.74322789e-19 7.22319177e-12) (-2.45738258e-18 9.95065511e-21 -1.09010739e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.51117        	((1.09241766e+00 9.10493970e-06 -3.88010856e-19) (2.52368295e-01 -1.17141267e-06 1.43464657e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.74602321e-21 1.75843481e-19 7.30180120e-12) (-2.34298399e-18 9.91985878e-21 -1.14134555e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.56599        	((1.10027099e+00 1.02721301e-05 -3.86557681e-19) (2.51089865e-01 -1.21654190e-06 1.43938820e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.86424705e-21 1.77220526e-19 7.02981531e-12) (-2.28005412e-18 9.71246155e-21 -1.23337227e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.62099        	((1.10689446e+00 1.16548396e-05 -3.84935565e-19) (2.49925233e-01 -1.20458398e-06 1.41990266e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.97913521e-21 1.78390127e-19 8.00660146e-12) (-2.22531738e-18 9.68473797e-21 -1.28274311e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.67599        	((1.11453425e+00 1.26929807e-05 -3.83574623e-19) (2.48840853e-01 -1.11780624e-06 1.41128590e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.01316964e-20 1.79705867e-19 7.41426983e-12) (-2.16402246e-18 9.56769747e-21 -1.31962396e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.73098        	((1.12078184e+00 1.15868774e-05 -3.81970725e-19) (2.47778763e-01 -1.05044418e-06 1.40212590e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.02831695e-20 1.80803155e-19 6.37635918e-12) (-2.11189898e-18 9.46115275e-21 -1.25901570e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.78615        	((1.12609197e+00 1.08916802e-05 -3.80424281e-19) (2.46714981e-01 -1.04741567e-06 1.39540399e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.04437187e-20 1.81739791e-19 5.98297692e-12) (-2.09886157e-18 9.36690523e-21 -1.31474250e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.84133        	((1.13084180e+00 8.88463631e-06 -3.78880361e-19) (2.45684045e-01 -1.05013934e-06 1.38811151e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.05514123e-20 1.82617472e-19 4.76718177e-12) (-2.10528608e-18 9.31431591e-21 -1.25981086e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
