# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
197            	-4.64929014e-09	1.62264419e+00	9.48855551e-09	9.49876120e-11	9.39356790e-09
198            	-4.65508968e-09	1.62258741e+00	6.31086727e-09	-1.49965604e-09	7.81052332e-09
199            	-4.66074548e-09	1.62253218e+00	4.02630992e-09	-2.64759053e-09	6.67390044e-09
200            	-4.66126801e-09	1.62247844e+00	4.61291407e-09	-2.35481097e-09	6.96772504e-09
201            	-4.65251286e-09	1.62242615e+00	6.77471349e-09	-1.26515611e-09	8.03986960e-09
202            	-4.63489575e-09	1.62237526e+00	7.88565023e-09	-6.92070632e-10	8.57772087e-09
203            	-4.61171199e-09	1.62232574e+00	7.84414344e-09	-6.89640267e-10	8.53378371e-09
204            	-4.58453108e-09	1.62227756e+00	7.30890530e-09	-9.30078432e-10	8.23898373e-09
205            	-4.55476332e-09	1.62223068e+00	7.14736937e-09	-9.81078635e-10	8.12844801e-09
206            	-4.52203490e-09	1.62218506e+00	7.59277583e-09	-7.25646981e-10	8.31842281e-09
207            	-4.48541818e-09	1.62214067e+00	8.26089149e-09	-3.54972436e-10	8.61586393e-09
208            	-4.44464989e-09	1.62209747e+00	8.71682927e-09	-8.62352522e-11	8.80306453e-09
209            	-4.40038349e-09	1.62205544e+00	8.86885171e-09	3.40423684e-11	8.83480934e-09
210            	-4.36105284e-09	1.62201451e+00	-5.71550573e-09	-7.21880571e-09	1.50329998e-09
211            	-4.32417409e-09	1.62197473e+00	1.18806184e-08	1.61613511e-09	1.02644833e-08
