# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
5.32722        	-5.38174759e-08	4.36896861e-01	-5.04559399e-05	-2.52817874e-05	-2.51741525e-05
5.36484        	-4.80505573e-08	4.35826114e-01	-4.74684174e-05	-2.37822593e-05	-2.36861582e-05
5.40247        	-3.35164603e-08	4.36276938e-01	-5.71702181e-05	-2.86186255e-05	-2.85515926e-05
5.44009        	-7.38012311e-09	4.36147516e-01	-5.65084127e-05	-2.82615865e-05	-2.82468262e-05
5.47781        	2.91999479e-08	4.36265843e-01	-3.03345545e-05	-1.51380773e-05	-1.51964772e-05
5.51553        	6.73249928e-08	4.39074825e-01	-4.89050919e-06	-2.37792960e-06	-2.51257959e-06
5.55325        	1.02389207e-07	4.40264161e-01	-6.74867412e-05	-3.36409814e-05	-3.38457598e-05
5.59097        	1.23098607e-07	4.40910298e-01	-5.73812211e-05	-2.85675119e-05	-2.88137091e-05
5.62869        	1.38867126e-07	4.42089264e-01	-5.84921946e-05	-2.91072302e-05	-2.93849644e-05
5.66641        	1.51434731e-07	4.43489527e-01	-5.80506173e-05	-2.88738739e-05	-2.91767434e-05
5.70413        	1.59547155e-07	4.44621273e-01	-6.01839313e-05	-2.99324185e-05	-3.02515128e-05
5.74195        	1.62053156e-07	4.45656536e-01	-6.77772970e-05	-3.37265953e-05	-3.40507017e-05
5.77977        	1.60824125e-07	4.47027274e-01	-5.91894802e-05	-2.94339160e-05	-2.97555642e-05
5.81759        	1.57082239e-07	4.48810430e-01	-5.87484545e-05	-2.92171450e-05	-2.95313095e-05
5.85541        	1.52192870e-07	4.50158458e-01	-7.57811001e-05	-3.77383572e-05	-3.80427429e-05
5.89323        	1.47818248e-07	4.50638517e-01	-8.73825289e-05	-4.35434462e-05	-4.38390827e-05
5.93105        	1.43767704e-07	4.51613559e-01	-6.94819269e-05	-3.45971957e-05	-3.48847311e-05
5.96897        	1.37971326e-07	4.52953882e-01	-8.18421161e-05	-4.07830867e-05	-4.10590294e-05
6.00689        	1.29006453e-07	4.53298121e-01	-8.60193231e-05	-4.28806551e-05	-4.31386680e-05
6.04481        	1.17713903e-07	4.53737504e-01	-8.65413417e-05	-4.31529569e-05	-4.33883847e-05
6.08273        	1.00328401e-07	4.54015855e-01	-8.68493781e-05	-4.33243607e-05	-4.35250175e-05
6.12066        	7.82999467e-08	4.54424059e-01	-9.05668466e-05	-4.52051233e-05	-4.53617232e-05
6.15858        	5.97785931e-08	4.54372361e-01	-9.41955205e-05	-4.70379817e-05	-4.71575388e-05
6.1966         	4.62537144e-08	4.54146832e-01	-9.72540793e-05	-4.85807860e-05	-4.86732934e-05
6.23463        	3.91095973e-08	4.53957155e-01	-1.00693523e-04	-5.03076521e-05	-5.03858713e-05
6.27265        	3.52396709e-08	4.53042064e-01	-8.27512409e-05	-4.13403808e-05	-4.14108601e-05
6.31068        	3.11733841e-08	4.51927239e-01	-9.24281036e-05	-4.61828784e-05	-4.62452252e-05
6.34871        	2.82725947e-08	4.51483302e-01	-9.99344821e-05	-4.99389684e-05	-4.99955136e-05
6.38673        	2.70711013e-08	4.50615757e-01	-9.47053540e-05	-4.73256059e-05	-4.73797481e-05
6.42486        	2.05691661e-08	4.49364615e-01	-9.67721919e-05	-4.83655268e-05	-4.84066651e-05
6.463          	2.25122127e-08	4.47919910e-01	-9.26816449e-05	-4.63183102e-05	-4.63633347e-05
