# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
9.18267        	-9.07419558e-07	1.13043098e+00	2.45453296e-05	1.13652452e-05	1.31800843e-05
9.24413        	-9.11939864e-07	1.12908665e+00	2.43060735e-05	1.12410969e-05	1.30649766e-05
9.30559        	-9.13441690e-07	1.12762298e+00	2.24886833e-05	1.03308999e-05	1.21577833e-05
9.36705        	-9.13099284e-07	1.12636767e+00	2.09346192e-05	9.55421030e-06	1.13804089e-05
9.42851        	-9.12563865e-07	1.12502185e+00	1.86791000e-05	8.42698615e-06	1.02521139e-05
9.48998        	-9.13948377e-07	1.12392577e+00	2.10289212e-05	9.60051221e-06	1.14284090e-05
9.55144        	-9.15372528e-07	1.12268366e+00	2.02189379e-05	9.19409641e-06	1.10248415e-05
9.6129         	-9.21055129e-07	1.12141249e+00	2.05507976e-05	9.35434368e-06	1.11964539e-05
9.67436        	-9.29093816e-07	1.12022005e+00	2.23281265e-05	1.02349694e-05	1.20931571e-05
9.73582        	-9.40349090e-07	1.11893218e+00	2.65595288e-05	1.23394153e-05	1.42201135e-05
9.79729        	-9.56658041e-07	1.11764195e+00	2.72140030e-05	1.26503434e-05	1.45636595e-05
9.85912        	-9.76426421e-07	1.11637020e+00	2.51043625e-05	1.15757548e-05	1.35286077e-05
9.92096        	-1.00197895e-06	1.11493379e+00	2.31798325e-05	1.05879373e-05	1.25918952e-05
9.98279        	-1.03500403e-06	1.11353943e+00	1.68827387e-05	7.40636532e-06	9.47637337e-06
10.0446        	-1.07188240e-06	1.11226432e+00	1.64079320e-05	7.13208361e-06	9.27584842e-06
10.1065        	-1.10997564e-06	1.11093694e+00	1.55245789e-05	6.65231381e-06	8.87226510e-06
10.1683        	-1.14282265e-06	1.10967391e+00	1.35456741e-05	5.63001440e-06	7.91565970e-06
10.2301        	-1.17046642e-06	1.10846944e+00	1.33326372e-05	5.49585218e-06	7.83678502e-06
10.292         	-1.19500774e-06	1.10734821e+00	1.34941701e-05	5.55207731e-06	7.94209280e-06
10.3538        	-1.21715871e-06	1.10600296e+00	1.45686850e-05	6.06718379e-06	8.50150121e-06
10.4156        	-1.22002561e-06	1.10485017e+00	1.26487082e-05	5.10432849e-06	7.54437971e-06
10.4779        	-1.21389886e-06	1.10378213e+00	1.17414246e-05	4.65681346e-06	7.08461117e-06
10.5401        	-1.20176395e-06	1.10268900e+00	1.03731767e-05	3.98482439e-06	6.38835230e-06
10.6023        	-1.18434569e-06	1.10158315e+00	8.54923297e-06	3.09027080e-06	5.45896217e-06
10.6646        	-1.16136752e-06	1.10057677e+00	7.06880361e-06	2.37303428e-06	4.69576933e-06
10.7268        	-1.13306005e-06	1.09952070e+00	5.44046391e-06	1.58717191e-06	3.85329200e-06
10.7891        	-1.10014131e-06	1.09845506e+00	4.60081521e-06	1.20026629e-06	3.40054892e-06
10.8513        	-1.06040402e-06	1.09743050e+00	3.75082130e-06	8.15006624e-07	2.93581467e-06
10.9135        	-1.01748316e-06	1.09639208e+00	2.36445264e-06	1.64743159e-07	2.19970948e-06
10.9758        	-9.73058971e-07	1.09535984e+00	2.98387688e-06	5.18879471e-07	2.46499741e-06
11.038         	-9.34216372e-07	1.09435288e+00	7.03785904e-06	2.58471315e-06	4.45314589e-06
11.1002        	-8.97296613e-07	1.09324439e+00	7.24999895e-06	2.72770286e-06	4.52229609e-06
11.1625        	-8.57222493e-07	1.09222092e+00	7.57815574e-06	2.93185538e-06	4.64630036e-06
11.2247        	-8.25419145e-07	1.09095802e+00	5.99029649e-06	2.16972910e-06	3.82056739e-06
11.2874        	-7.97708307e-07	1.09001264e+00	1.61619349e-08	-7.89627340e-07	8.05789275e-07
